cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_1.json;8149,72;7931,43;1,0275;159,16;49;31,18
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_10.json;8129,97;7895,32;1,0297;140,92;37;25,78
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_2.json;8183,39;7914,43;1,0340;79,82;13;8,32
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_3.json;8123,69;7899,97;1,0283;132,43;60;35,84
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_4.json;8421,91;8126,15;1,0364;91,49;10;5,95
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_5.json;8519,60;8288,37;1,0279;120,69;6;4,67
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_6.json;8372,42;8090,80;1,0348;173,57;48;27,81
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_7.json;8076,99;7825,75;1,0321;121,08;3;2,36
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_8.json;8358,33;8141,06;1,0267;300,29;55;34,36
LHLLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHH\LHLLLHH_9.json;8171,41;7941,05;1,0290;137,41;18;11,86
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_1.json;2148,76;2025,81;1,0607;25,94;3;0,50
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_10.json;2343,03;2202,05;1,0640;0,00;2;0,00
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_2.json;2155,25;2063,28;1,0446;11,04;2;0,62
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_3.json;2170,56;2063,64;1,0518;43,43;3;0,50
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_4.json;2166,78;2051,62;1,0561;29,81;4;0,50
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_5.json;2230,89;2150,70;1,0373;51,74;8;1,01
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_6.json;2196,83;2112,61;1,0399;55,73;5;0,00
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_7.json;2276,92;2153,80;1,0572;0,00;1;0,00
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_8.json;2256,29;2187,70;1,0314;51,00;4;0,00
LHLLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLHL\LHLLLHL_9.json;2299,56;2158,01;1,0656;0,00;1;0,00
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_1.json;7950,38;7802,34;1,0190;367,70;11;4,41
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_10.json;8327,92;8138,67;1,0233;440,40;16;9,93
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_2.json;8293,64;8061,03;1,0289;334,10;8;5,11
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_3.json;7359,06;7173,96;1,0258;521,60;16;9,26
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_4.json;7761,26;7582,44;1,0236;406,09;14;7,44
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_5.json;8661,18;8460,03;1,0238;248,95;7;3,24
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_6.json;7861,38;7716,32;1,0188;230,26;11;6,04
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_7.json;8578,44;8496,83;1,0096;378,47;17;10,23
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_8.json;8790,85;8588,76;1,0235;287,89;11;6,07
LHLLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLH\LHLLLLH_9.json;8347,89;8166,35;1,0222;400,90;14;6,30
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_1.json;2391,08;2250,48;1,0625;98,37;2;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_10.json;2073,69;1957,13;1,0596;0,00;1;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_2.json;2599,46;2477,40;1,0493;0,00;1;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_3.json;2212,37;2176,47;1,0165;0,00;1;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_4.json;2129,96;2066,07;1,0309;97,38;3;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_5.json;2095,78;2044,36;1,0252;65,48;3;0,51
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_6.json;2369,39;2283,76;1,0375;18,04;3;0,55
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_7.json;1988,65;1955,78;1,0168;67,71;2;0,56
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_8.json;2042,16;2002,25;1,0199;88,38;3;0,00
LHLLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLLLL\LHLLLLL_9.json;2121,35;2001,45;1,0599;45,32;2;0,00
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_1.json;48344,01;47814,07;1,0111;627,00;34;21,81
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_10.json;48761,05;48170,79;1,0123;479,19;35;22,10
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_2.json;48730,61;48258,41;1,0098;641,32;58;35,77
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_3.json;48243,72;47858,54;1,0080;478,78;27;19,19
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_4.json;48130,56;47668,67;1,0097;513,31;59;36,85
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_5.json;48490,93;47963,57;1,0110;375,56;17;14,13
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_6.json;48419,66;47850,27;1,0119;215,54;26;15,83
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_7.json;48456,27;47926,30;1,0111;246,08;34;23,76
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_8.json;48445,01;47962,70;1,0101;666,09;119;73,14
LLHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHH\LLHHHHH_9.json;48850,03;48240,70;1,0126;538,92;20;13,66
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_1.json;14263,29;14096,57;1,0118;56,93;3;0,00
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_10.json;14338,23;14155,73;1,0129;47,02;7;0,50
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_2.json;14097,59;13959,37;1,0099;305,30;5;0,53
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_3.json;14425,07;14246,66;1,0125;22,09;4;0,78
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_4.json;14211,49;14076,54;1,0096;140,67;9;0,54
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_5.json;14274,88;14085,68;1,0134;99,14;4;0,00
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_6.json;14544,72;14352,25;1,0134;0,00;1;0,00
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_7.json;14356,38;14167,02;1,0134;33,48;2;0,00
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_8.json;14464,41;14303,95;1,0112;0,00;1;0,00
LLHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHHL\LLHHHHL_9.json;14352,64;14176,68;1,0124;58,09;6;0,00
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_1.json;47384,30;47050,67;1,0071;670,22;11;5,79
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_10.json;48695,36;48319,06;1,0078;840,28;6;2,50
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_2.json;48024,09;47580,50;1,0093;774,24;7;3,98
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_3.json;48716,21;48328,10;1,0080;795,37;12;6,89
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_4.json;48395,58;47906,83;1,0102;648,35;7;4,18
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_5.json;48069,89;47782,66;1,0060;759,51;13;6,72
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_6.json;47963,74;47587,07;1,0079;606,76;10;5,52
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_7.json;48180,20;47771,75;1,0085;909,15;14;8,85
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_8.json;48519,75;48149,90;1,0077;813,50;7;3,84
LLHHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLH\LLHHHLH_9.json;48249,65;47739,31;1,0107;506,20;7;3,88
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_1.json;13897,09;13744,77;1,0111;210,43;3;0,00
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_10.json;14619,84;14459,48;1,0111;139,99;3;0,62
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_2.json;14509,86;14340,57;1,0118;0,00;1;0,00
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_3.json;14493,70;14324,82;1,0118;125,75;3;0,00
